id,number,balance,created_at,expires_at,status,total_sold,total_redeemed
51505917-eb0b-406c-88c5-413b9cb5fd1b,781753962194,599,2025-07-31T13:43:18+02:00,0001-01-01T00:00:00Z,ACTIVE,599,0
3ad523da-778a-4d0f-8e5b-d13db74aeff3,681753961372,790,2025-07-31T13:29:35+02:00,0001-01-01T00:00:00Z,ACTIVE,790,0
2cbd1f2a-620b-4871-b648-9c3031a57ae5,T10121,599,2025-07-31T13:09:13+02:00,0001-01-01T00:00:00Z,ACTIVE,599,0
bf7ffd80-4bbb-47a0-acbf-e034feaf6f9b,761753960101,899,2025-07-31T13:08:25+02:00,0001-01-01T00:00:00Z,ACTIVE,899,0
c1d7ba34-ec04-4b0f-826c-a3d6dfb1ab89,711753958299,699,2025-07-31T12:38:23+02:00,0001-01-01T00:00:00Z,ACTIVE,699,0
604d040c-54bd-4ca7-9e08-2197f54c2620,wsd2274,890,2025-07-31T12:08:51+02:00,0001-01-01T00:00:00Z,ACTIVE,890,0
7709d49b-3832-42a2-8239-103b92b8bc82,201753955500,1890,2025-07-31T11:51:44+02:00,0001-01-01T00:00:00Z,ACTIVE,1890,0
32950238-ffdf-41f3-8aab-1f532172e92b,201753955134,899,2025-07-31T11:45:39+02:00,0001-01-01T00:00:00Z,ACTIVE,899,0
b78ef1a9-c813-4c1c-bf0f-760e51a0a633,T10475,300,2025-07-31T11:24:27+02:00,0001-01-01T00:00:00Z,ACTIVE,300,0
a99934ad-df26-4899-976f-fc4ad62376da,821753953369,700,2025-07-31T11:16:13+02:00,0001-01-01T00:00:00Z,ACTIVE,700,0
6ee17458-83b3-42df-a72f-d53fdffb4d2e,491753953323,500,2025-07-31T11:15:27+02:00,0001-01-01T00:00:00Z,ACTIVE,500,0
cd1ecc14-1457-4b1a-8fd5-6e65bc78b6ef,T10489,300,2025-07-31T11:14:08+02:00,0001-01-01T00:00:00Z,ACTIVE,300,0
3e033c3a-e815-4a24-9dab-a29b795ddb5f,961753951148,899,2025-07-31T10:39:12+02:00,0001-01-01T00:00:00Z,ACTIVE,899,0
b38d7405-76aa-4cf5-bd53-47591e2a77f4,42187,590,2025-07-31T10:24:19+02:00,0001-01-01T00:00:00Z,ACTIVE,590,0
d638f672-fb67-46a5-8c78-d4e9fbd46c05,43573,690,2025-07-31T10:03:31+02:00,0001-01-01T00:00:00Z,ACTIVE,690,0
312bf4f8-4e0c-4d2c-bc0b-fb596f9b1f9a,911753948853,890,2025-07-31T10:00:57+02:00,0001-01-01T00:00:00Z,ACTIVE,890,0
da2fe7af-e065-4a0c-a63a-0f45f167c27d,991753948641,499,2025-07-31T09:57:24+02:00,0001-01-01T00:00:00Z,ACTIVE,499,0
4117a49f-a6ea-403b-b732-05c25e0e29bc,611753948514,1000,2025-07-31T09:55:20+02:00,0001-01-01T00:00:00Z,ACTIVE,1000,0
ea01b3cb-0c12-4617-97e3-3968dc6b3100,ELS15,690,2025-07-31T08:53:49+02:00,0001-01-01T00:00:00Z,ACTIVE,690,0
fc1f482b-0b65-4ef4-b326-fbc58156b3cc,881753944640,599,2025-07-31T08:50:46+02:00,0001-01-01T00:00:00Z,ACTIVE,599,0
0cfd53ae-35d4-4ceb-87ac-abeb78d09d28,611753941214,590,2025-07-31T07:53:39+02:00,0001-01-01T00:00:00Z,ACTIVE,590,0
c2c57984-fb26-43c2-9147-d775b9a3e79a,691753936095,390,2025-07-31T06:28:20+02:00,0001-01-01T00:00:00Z,ACTIVE,390,0
0969b228-6564-43c4-a2cb-b0197d4e22bd,701753898432,799,2025-07-30T20:00:37+02:00,0001-01-01T00:00:00Z,ACTIVE,799,0
64544fe8-2aa5-47a1-a728-625d108ae1b3,101753895595,795,2025-07-30T19:13:18+02:00,0001-01-01T00:00:00Z,ACTIVE,795,0
1b90b4f8-5d72-4948-a22c-8f48982ec210,421753895079,799,2025-07-30T19:04:43+02:00,0001-01-01T00:00:00Z,ACTIVE,799,0
ff0fd6fe-2320-48cf-aa78-6f4089eaa4c3,T10472,390,2025-07-30T18:06:44+02:00,0001-01-01T00:00:00Z,ACTIVE,390,0
ee52334d-7510-4cd0-bcad-455be5c90b92,T10144,390,2025-07-30T18:06:43+02:00,0001-01-01T00:00:00Z,ACTIVE,390,0
a3014d97-7be6-436b-9e66-27ce2b7c3427,201753886500,1000,2025-07-30T16:41:44+02:00,0001-01-01T00:00:00Z,ACTIVE,1000,0
6ee0d3bd-fa3b-441e-a53b-4d7cf993d2e2,T10520,599,2025-07-30T16:09:30+02:00,0001-01-01T00:00:00Z,ACTIVE,599,0
65824d22-3e8e-48b2-a6eb-5e7cc43d60c8,241753882918,500,2025-07-30T15:42:02+02:00,0001-01-01T00:00:00Z,ACTIVE,500,0
38cb312e-b218-4fee-8c5c-59924b5449e5,wsd2273,599,2025-07-30T14:27:32+02:00,0001-01-01T00:00:00Z,ACTIVE,599,0
14150cb4-1367-4db0-bdf5-2ec0a73c9d44,671753874652,699,2025-07-30T13:24:15+02:00,0001-01-01T00:00:00Z,ACTIVE,699,0
c8a4c852-cc09-460b-b44d-cd3fca65dac0,42722,390,2025-07-30T13:17:56+02:00,0001-01-01T00:00:00Z,ACTIVE,390,0
b1e67df7-22f1-459b-8aea-0fa6ff91d0b0,43975,390,2025-07-30T13:17:56+02:00,0001-01-01T00:00:00Z,ACTIVE,390,0
